userID,Movie Recommendation 1,Movie Recommendation 2,Movie Recommendation 3,Movie Recommendation 4,Movie Recommendation 5,Movie Recommendation 6,Movie Recommendation 7,Movie Recommendation 8,Movie Recommendation 9,Movie Recommendation 10
133,Seconds ,"Stepford Wives, The ",Unforgettable ,Rear Window ,Just Cause ,"Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  
134,Die Hard: With a Vengeance ,"Fugitive, The ","Shawshank Redemption, The ",Twelve Monkeys  ,Apollo 13 ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
135,Back to the Future ,Forrest Gump ,Ferris Bueller's Day Off ,"Green Mile, The ",Raising Arizona ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,"Graduate, The "
136,Copycat ,Forget Paris ,Forrest Gump ,French Kiss ,Jumanji ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
137,Dial M for Murder ,"Fugitive, The ",Rosemary's Baby ,Witness ,Ben-Hur ,Sleepers ,Cape Fear ,"Dead Zone, The ",Arlington Road ,Red Rock West 
138,American Beauty ,Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
139,"Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
140,Apocalypse Now ,"Princess Bride, The ",Rocky ,Caddyshack ,Citizen Kane ,Big Trouble in Little China ,Romancing the Stone ,Clash of the Titans ,"Three Musketeers, The ",Last Action Hero 
141,"Sixth Sense, The ",Terminator 2: Judgment Day ,"Usual Suspects, The ",Airplane! ,American Beauty ,Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express 
142,"Shawshank Redemption, The ",Braveheart ,Twelve Monkeys  ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ","Matrix, The "
143,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
144,"Fugitive, The ","Shawshank Redemption, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,Casino ,Dead Man Walking ,"Shawshank Redemption, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
145,Braveheart ,Disclosure ,Interview with the Vampire: The Vampire Chronicles ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Matrix, The ",Forrest Gump 
146,Seconds ,"Stepford Wives, The ",Unforgettable ,Seven  ,Rear Window ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
147,Braveheart ,Forrest Gump ,Independence Day  ,Pulp Fiction ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
148,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
149,Indiana Jones and the Last Crusade ,Indiana Jones and the Temple of Doom ,Predator ,Aladdin ,Ghostbusters  ,Raiders of the Lost Ark  ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  "
150,James and the Giant Peach ,Sense and Sensibility ,Toy Story ,Nixon ,Twister ,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The "
151,Dragonheart ,Star Wars: Episode IV - A New Hope ,"Rock, The ",Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,"Shawshank Redemption, The ",Pulp Fiction 
152,"Shining, The ",Halloween ,Suspiria ,Cemetery Man  ,Nosferatu  ,Zombie   ,Forrest Gump ,Star Wars: Episode V - The Empire Strikes Back ,Braveheart ,Terminator 2: Judgment Day 
153,American History X ,Fight Club ,"Matrix, The ","Shawshank Redemption, The ","Silence of the Lambs, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
154,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The "
155,"Lion King, The ",Pulp Fiction ,"Shawshank Redemption, The ","South Park: Bigger, Longer and Uncut ",Star Wars: Episode V - The Empire Strikes Back ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
156,"400 Blows, The  ",Alien ,"Apartment, The ","Birds, The ","Boot, Das  ","Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The "
157,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
158,Air Force One ,"River Wild, The ",Enemy of the State ,Breakdown ,"Jackal, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
159,Casablanca ,Jerry Maguire ,Sense and Sensibility ,Leaving Las Vegas ,"Piano, The ","Matrix, The ","Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Schindler's List 
160,"Big Lebowski, The ",Dogma ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Monty Python and the Holy Grail ,Office Space ,Dogma ,"Adventures of Baron Munchausen, The ",Hook ,Jabberwocky ,Erik the Viking 
161,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
162,Braveheart ,"Fugitive, The ",Sleepless in Seattle ,Aladdin ,"American President, The ",Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
163,"Love Bug, The ",Harriet the Spy ,Mouse Hunt ,Muppets From Space ,"Shaggy Dog, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
164,"Matrix, The ",Alien ,Star Wars: Episode IV - A New Hope ,Blade Runner ,eXistenZ ,They Live ,Hangar 18 ,Screamers ,"Shawshank Redemption, The ",Pulp Fiction 
165,Star Wars: Episode IV - A New Hope ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max ,Tron ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
166,Braveheart ,Aliens ,Back to the Future ,Dead Poets Society ,"Fifth Element, The ",Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The "
167,Fight Club ,"Godfather, The ","South Park: Bigger, Longer and Uncut ",American History X ,Austin Powers: International Man of Mystery ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
168,Alien ,Blade Runner ,Monty Python and the Holy Grail ,"Killing Fields, The ",M ,Dogma ,"Adventures of Baron Munchausen, The ",Hook ,Jabberwocky ,Erik the Viking 
169,Raiders of the Lost Ark  ,"Breakfast Club, The ",Ferris Bueller's Day Off ,Fight Club ,Star Wars: Episode IV - A New Hope ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
170,Clear and Present Danger ,Die Hard: With a Vengeance ,Star Trek: Generations ,Die Hard ,Natural Born Killers ,Heat ,Ronin ,"French Connection, The ","Matrix, The ",Fight Club 
171,Aliens ,"Godfather: Part II, The ",Goodfellas ,"Shining, The ","Usual Suspects, The ",Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,Frantic 
172,Forrest Gump ,"Matrix, The ",Fight Club ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
173,Babe ,Dances with Wolves ,"Fugitive, The ","Lion King, The ","Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
174,"Silence of the Lambs, The ",Speed ,Braveheart ,"Lion King, The ",Seven  ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
175,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
176,Beauty and the Beast ,Cinderella ,"Nightmare Before Christmas, The ",Fantasia ,Pinocchio ,Peter Pan ,"Matrix, The ",Forrest Gump ,Fight Club ,"Usual Suspects, The "
177,Miracle on 34th Street ,Saving Private Ryan ,Braveheart ,Caddyshack ,Dazed and Confused ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The "
178,Star Wars: Episode IV - A New Hope ,"Godfather, The ",Reservoir Dogs ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Star Wars: Episode IV - A New Hope 
179,"Little Princess, A ","Secret Garden, The ",My Dog Skip ,Old Yeller ,Now and Then ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Schindler's List 
180,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ","Usual Suspects, The "
181,Apollo 13 ,"Shawshank Redemption, The ",Dave ,Jumanji ,"Lion King, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
182,Rocky ,Ghostbusters  ,Scent of a Woman ,All the President's Men ,Annie Hall ,Tank Girl ,"10th Victim, The  ",Mystery Science Theater 3000: The Movie ,Sleeper ,"Lion King, The "
183,"Matrix, The ","Godfather: Part II, The ",Indiana Jones and the Last Crusade ,Raiders of the Lost Ark  ,Star Wars: Episode IV - A New Hope ,"Terminator, The ",Blade Runner ,eXistenZ ,They Live ,Hangar 18 
184,2001: A Space Odyssey ,Akira ,Apocalypse Now ,Blade Runner ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
185,Back to the Future ,Mary Poppins ,Miracle on 34th Street ,My Fair Lady ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
186,Apocalypse Now ,Fargo ,Goldfinger ,Back to the Future ,Being John Malkovich ,Pulp Fiction ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
187,"Godfather, The ",Goodfellas ,"Green Mile, The ","Princess Bride, The ","Sixth Sense, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Dead Man Walking ,Dog Day Afternoon 
188,Casablanca ,Aladdin ,"Aristocats, The ",Beauty and the Beast ,It's a Wonderful Life ,Robin Hood ,Hercules ,Oliver & Company ,"Bug's Life, A ","Jungle Book, The "
189,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Pulp Fiction ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  
190,"Usual Suspects, The ",Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
191,"Silence of the Lambs, The ",Batman ,"Birdcage, The ",Dances with Wolves ,Four Weddings and a Funeral ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
192,"Fugitive, The ",Crimson Tide ,Die Hard: With a Vengeance ,Terminator 2: Judgment Day ,Starship Troopers ,"Running Man, The ",Superman II ,"Blood of Heroes, The  ",Death Race 2000 ,"Shawshank Redemption, The "
193,"Godfather: Part II, The ","Matrix, The ",Seven  ,Fargo ,"Shining, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
194,"Deer Hunter, The ",Glory ,Patton ,"Killing Fields, The ",Full Metal Jacket ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
195,Fight Club ,Forrest Gump ,"Godfather, The ",Office Space ,Austin Powers: The Spy Who Shagged Me ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,Shakespeare in Love ,"Graduate, The "
196,Forrest Gump ,"Shawshank Redemption, The ",Star Wars: Episode VI - Return of the Jedi ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction 
197,Fight Club ,"Shining, The ","Silence of the Lambs, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
198,"Godfather, The ",Indiana Jones and the Last Crusade ,Schindler's List ,Aladdin ,Die Hard ,Full Metal Jacket ,Platoon ,Glory ,Patton ,"Killing Fields, The "
199,Braveheart ,Ghostbusters  ,"Godfather: Part II, The ",2001: A Space Odyssey ,Aliens ,"Dirty Dozen, The ",All Quiet on the Western Front ,"Bridge Too Far, A ",Zulu ,Fight Club 
200,E.T. the Extra-Terrestrial ,Ghostbusters  ,Saving Private Ryan ,"Sixth Sense, The ",American History X ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The ",All Quiet on the Western Front 
201,Fight Club ,Amadeus ,American History X ,"Godfather, The ","Green Mile, The ",Clear and Present Danger ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Shaft 
202,"Big Lebowski, The ","Christmas Story, A ","Fish Called Wanda, A ",One Flew Over the Cuckoo's Nest ,Rear Window ,Amadeus ,What's Eating Gilbert Grape ,To Kill a Mockingbird ,Schindler's List ,Seven  
203,Apollo 13 ,Crimson Tide ,Interview with the Vampire: The Vampire Chronicles ,Outbreak ,Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  ,Forrest Gump 
204,"Shawshank Redemption, The ",Forrest Gump ,"Godfather: Part II, The ",Taxi Driver ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking ,"Shawshank Redemption, The "
205,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
206,Heat ,Mighty Aphrodite ,"Time to Kill, A ",Die Hard ,"French Connection, The ",Die Hard: With a Vengeance ,Ronin ,Dirty Harry ,"Shawshank Redemption, The ",Pulp Fiction 
207,"Shawshank Redemption, The ",Fight Club ,Forrest Gump ,Pulp Fiction ,"Silence of the Lambs, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
208,Die Hard ,Raiders of the Lost Ark  ,"Shawshank Redemption, The ",Star Wars: Episode IV - A New Hope ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
209,Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Pulp Fiction ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Schindler's List 
210,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Commando ,"Shawshank Redemption, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
211,American History X ,Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking ,"Silence of the Lambs, The ",Schindler's List ,Braveheart ,Seven  ,Terminator 2: Judgment Day 
212,"Godfather, The ",Aladdin ,Alien ,Braveheart ,Die Hard ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The "
213,Aliens ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Braveheart ,"Matrix, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,Hangar 18 
214,Twelve Monkeys  ,Broken Arrow ,Fargo ,Pulp Fiction ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,"Shawshank Redemption, The ",Pulp Fiction 
215,"Matrix, The ",Being John Malkovich ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Matrix, The ",Braveheart ,Seven  
216,Brazil ,Fargo ,"Godfather, The ",North by Northwest ,Psycho ,American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
217,One Flew Over the Cuckoo's Nest ,Airplane! ,American Beauty ,Apocalypse Now ,Being John Malkovich ,Good Will Hunting ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,Sense and Sensibility 
218,Fight Club ,Star Wars: Episode IV - A New Hope ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
219,Braveheart ,Forrest Gump ,Alien ,"Green Mile, The ",2001: A Space Odyssey ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
220,American Beauty ,Schindler's List ,Braveheart ,L̩on: The Professional   ,Monty Python and the Holy Grail ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton 
221,"Godfather: Part II, The ",2001: A Space Odyssey ,Goldfinger ,"Great Escape, The ",In the Heat of the Night ,American History X ,"Green Mile, The ",Casino ,Dead Man Walking ,Bonnie and Clyde 
222,"Shawshank Redemption, The ",12 Angry Men ,"Green Mile, The ",One Flew Over the Cuckoo's Nest ,Star Wars: Episode IV - A New Hope ,"Green Mile, The ",Casino ,Dead Man Walking ,Dog Day Afternoon ,"Shawshank Redemption, The "
223,American Beauty ,American History X ,Fight Club ,Forrest Gump ,Terminator 2: Judgment Day ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,"Graduate, The "
224,Star Wars: Episode V - The Empire Strikes Back ,Good Will Hunting ,Miracle on 34th Street ,Raiders of the Lost Ark  ,"Sixth Sense, The ",Stargate ,Superman ,Star Wars: Episode I - The Phantom Menace ,Mad Max ,Tron 
225,E.T. the Extra-Terrestrial ,Ferris Bueller's Day Off ,Indiana Jones and the Last Crusade ,"Matrix, The ",Raiders of the Lost Ark  ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
226,"Truman Show, The ","Godfather, The ",Goodfellas ,Heat ,Saving Private Ryan ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Dead Man Walking 
227,American Beauty ,American History X ,L̩on: The Professional   ,"Sixth Sense, The ","Usual Suspects, The ",Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express 
228,Fight Club ,Raiders of the Lost Ark  ,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,Pulp Fiction ,Forrest Gump 
229,Outbreak ,"Omega Man, The ",RoboCop ,"Crazies, The  ",Predator ,Eraser ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
230,Forrest Gump ,American History X ,Indiana Jones and the Last Crusade ,"Matrix, The ",Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
231,Star Wars: Episode VI - Return of the Jedi ,Braveheart ,"Shawshank Redemption, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Shawshank Redemption, The ",Forrest Gump 
232,Office Space ,"Usual Suspects, The ","Breakfast Club, The ","Fugitive, The ",Gattaca ,Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express 
233,Good Will Hunting ,Casablanca ,Jerry Maguire ,Sense and Sensibility ,Leaving Las Vegas ,"Piano, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,Terminator 2: Judgment Day 
234,Beetlejuice ,Ghostbusters  ,"Nightmare Before Christmas, The ","Sixth Sense, The ",Wallace & Gromit: The Wrong Trousers ,Interview with the Vampire: The Vampire Chronicles ,Citizen Kane ,"Tenant, The  ","Exorcist, The ","Wicker Man, The "
235,"Birdcage, The ",Happy Gilmore ,Wayne's World ,Airplane! ,Ferris Bueller's Day Off ,Animal House ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
236,"Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
237,Fight Club ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Pulp Fiction ,"Silence of the Lambs, The ",Fight Club ,Star Wars: Episode IV - A New Hope 
238,"Shawshank Redemption, The ",Fight Club ,American History X ,Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
239,Schindler's List ,"Sixth Sense, The ",Back to the Future ,Glory ,"Deer Hunter, The ",Patton ,"Killing Fields, The ",Ran ,Schindler's List ,Apollo 13 
240,Forget Paris ,Ghost ,Heavy Metal ,Big ,"Fisher King, The ","Purple Rose of Cairo, The ",Juliet of the Spirits  ,Defending Your Life ,"Matrix, The ","Silence of the Lambs, The "
241,American History X ,Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco ,Forrest Gump ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  
242,Braveheart ,Beauty and the Beast ,Die Hard: With a Vengeance ,While You Were Sleeping ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Matrix, The "
243,Braveheart ,Jurassic Park ,"Fugitive, The ",In the Line of Fire ,Waterworld ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
244,Jurassic Park ,Raiders of the Lost Ark  ,"Abyss, The ",Apocalypse Now ,Apollo 13 ,Indiana Jones and the Last Crusade ,Yojimbo ,"Hidden Fortress, The  ","Touch of Zen, A  ",Shogun Assassin 
245,Toy Story ,Beauty and the Beast ,"Shawshank Redemption, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Shawshank Redemption, The ",Pulp Fiction 
246,"Shawshank Redemption, The ",American Beauty ,American History X ,Indiana Jones and the Last Crusade ,Monty Python and the Holy Grail ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
247,Trainspotting ,"Player, The ",Crimes and Misdemeanors ,Something Wild ,Miami Blues ,Fried Green Tomatoes ,Independence Day  ,"Fugitive, The ",Alien ,Die Hard 
248,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Shogun Assassin ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
249,Dogma ,Dead Poets Society ,Donnie Brasco ,Full Metal Jacket ,Gattaca ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,"Killing Fields, The "
250,Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
251,American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Godfather, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  
252,Anastasia ,Fantasia 2000 ,Dumbo ,Tarzan ,"Secret of NIMH, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
253,Fight Club ,"Shawshank Redemption, The ",American Beauty ,Ferris Bueller's Day Off ,"Graduate, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
254,"Godfather: Part II, The ","Green Mile, The ",One Flew Over the Cuckoo's Nest ,Raiders of the Lost Ark  ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Raiders of the Lost Ark  
255,Pulp Fiction ,Raiders of the Lost Ark  ,Star Wars: Episode IV - A New Hope ,"Big Lebowski, The ","Breakfast Club, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
256,Die Hard ,Die Hard: With a Vengeance ,Heat ,Batman ,Natural Born Killers ,"French Connection, The ",Pulp Fiction ,Forrest Gump ,Fight Club ,"Usual Suspects, The "
257,Star Wars: Episode IV - A New Hope ,Twelve Monkeys  ,Alien ,Aliens ,Batman ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
258,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ","Usual Suspects, The "
259,"Fugitive, The ",Terminator 2: Judgment Day ,Starship Troopers ,"Running Man, The ",Superman II ,"Blood of Heroes, The  ",Death Race 2000 ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
260,"Shawshank Redemption, The ","Silence of the Lambs, The ",American Beauty ,Apocalypse Now ,"Breakfast Club, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
261,Fight Club ,"Silence of the Lambs, The ","Clockwork Orange, A ","Godfather, The ","Godfather: Part II, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
262,Braveheart ,Schindler's List ,"American President, The ",Forrest Gump ,Jurassic Park ,Life Is Beautiful  ,Train of Life  ,As Good as It Gets ,Shakespeare in Love ,"Graduate, The "
263,Aladdin ,Fargo ,Gattaca ,Star Wars: Episode IV - A New Hope ,Terminator 2: Judgment Day ,Stargate ,Superman ,Mad Max ,Tron ,Demolition Man 
264,Back to the Future ,"Silence of the Lambs, The ",Star Wars: Episode IV - A New Hope ,Pulp Fiction ,Raiders of the Lost Ark  ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
265,Aliens ,Die Hard ,Forrest Gump ,Indiana Jones and the Last Crusade ,"Fish Called Wanda, A ",Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,Shakespeare in Love ,"Graduate, The "
266,Alien ,American Beauty ,"Godfather, The ",American History X ,Dead Poets Society ,Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas 
